Lmod has detected the following error: The following module(s) could not be
loaded: "openmpi/4.0.3"

Please check the spelling or version number. Also try "module spider ..."

It is also possible that the module is not available for this node type.
See https://docs.icer.msu.edu/available_software/overview/ for details. 


Compiling reverseGOL-mpi.c...
Running MPI program with 4 tasks...
Worker 0: Generation 119 with best=0 fitness=0
Worker 3: Generation 119 with best=0 fitness=0
Worker 2: Generation 119 with best=0 fitness=0
Worker 1: Generation 120 with best=0 fitness=0
Worker 0: Generation 120 with best=0 fitness=0
Worker 3: Generation 120 with best=0 fitness=0
Worker 2: Generation 120 with best=0 fitness=0
Worker 1: Generation 121 with best=0 fitness=0
Worker 0: Generation 121 with best=0 fitness=0
Worker 3: Generation 121 with best=0 fitness=0
Worker 2: Generation 121 with best=0 fitness=0
Worker 1: Generation 122 with best=0 fitness=0
Worker 0: Generation 122 with best=0 fitness=0
Worker 3: Generation 122 with best=0 fitness=0
Worker 2: Generation 122 with best=0 fitness=0
Worker 1: Generation 123 with best=0 fitness=0
Worker 0: Generation 123 with best=0 fitness=0
Worker 3: Generation 123 with best=0 fitness=0
Worker 2: Generation 123 with best=0 fitness=0
Worker 1: Generation 124 with best=0 fitness=0
Worker 0: Generation 124 with best=0 fitness=0
Worker 3: Generation 124 with best=0 fitness=0
Worker 2: Generation 124 with best=0 fitness=0
Worker 1: Generation 125 with best=0 fitness=0
Worker 0: Generation 125 with best=0 fitness=0
Worker 2: Generation 125 with best=0 fitness=0
Worker 3: Generation 125 with best=0 fitness=0
Worker 1: Generation 126 with best=0 fitness=0
Worker 0: Generation 126 with best=0 fitness=0
Worker 3: Generation 126 with best=0 fitness=0
Worker 2: Generation 126 with best=0 fitness=0
Worker 1: Generation 127 with best=0 fitness=0
Worker 0: Generation 127 with best=0 fitness=0
Worker 3: Generation 127 with best=0 fitness=0
Worker 2: Generation 127 with best=0 fitness=0
Worker 1: Generation 128 with best=0 fitness=0
Worker 0: Generation 128 with best=0 fitness=0
Worker 3: Generation 128 with best=0 fitness=0
Worker 2: Generation 128 with best=0 fitness=0
Worker 1: Generation 129 with best=0 fitness=0
Worker 0: Generation 129 with best=0 fitness=0
Worker 3: Generation 129 with best=0 fitness=0
Worker 2: Generation 129 with best=0 fitness=0
Worker 1: Generation 130 with best=0 fitness=0
Worker 0: Generation 130 with best=0 fitness=0
Worker 2: Generation 130 with best=0 fitness=0
Worker 3: Generation 130 with best=0 fitness=0
Worker 1: Generation 131 with best=0 fitness=0
Worker 0: Generation 131 with best=0 fitness=0
Worker 2: Generation 131 with best=0 fitness=0
Worker 3: Generation 131 with best=0 fitness=0
Worker 1: Generation 132 with best=0 fitness=0
Worker 0: Generation 132 with best=0 fitness=0
Worker 3: Generation 132 with best=0 fitness=0
Worker 2: Generation 132 with best=0 fitness=0
Worker 1: Generation 133 with best=0 fitness=0
Worker 0: Generation 133 with best=0 fitness=0
Worker 2: Generation 133 with best=0 fitness=0
Worker 3: Generation 133 with best=0 fitness=0
Worker 1: Generation 134 with best=0 fitness=0
Worker 0: Generation 134 with best=0 fitness=0
Worker 2: Generation 134 with best=0 fitness=0
Worker 3: Generation 134 with best=0 fitness=0
Worker 1: Generation 135 with best=0 fitness=0
Worker 0: Generation 135 with best=0 fitness=0
Worker 3: Generation 135 with best=0 fitness=0
Worker 2: Generation 135 with best=0 fitness=0
Worker 1: Generation 136 with best=0 fitness=0
Worker 0: Generation 136 with best=0 fitness=0
Worker 3: Generation 136 with best=0 fitness=0
Worker 2: Generation 136 with best=0 fitness=0
Worker 1: Generation 137 with best=0 fitness=0
Worker 0: Generation 137 with best=0 fitness=0
Worker 2: Generation 137 with best=0 fitness=0
Worker 3: Generation 137 with best=0 fitness=0
Worker 1: Generation 138 with best=0 fitness=0
Worker 0: Generation 138 with best=0 fitness=0
Worker 3: Generation 138 with best=0 fitness=0
Worker 2: Generation 138 with best=0 fitness=0
Worker 1: Generation 139 with best=0 fitness=0
Worker 0: Generation 139 with best=0 fitness=0
Worker 3: Generation 139 with best=0 fitness=0
Worker 2: Generation 139 with best=0 fitness=0
Worker 1: Generation 140 with best=0 fitness=0
Worker 0: Generation 140 with best=0 fitness=0
Worker 3: Generation 140 with best=0 fitness=0
Worker 2: Generation 140 with best=0 fitness=0
Worker 1: Generation 141 with best=0 fitness=0
Worker 0: Generation 141 with best=0 fitness=0
Worker 3: Generation 141 with best=0 fitness=0
Worker 2: Generation 141 with best=0 fitness=0
Worker 1: Generation 142 with best=0 fitness=0
Worker 0: Generation 142 with best=0 fitness=0
Worker 3: Generation 142 with best=0 fitness=0
Worker 2: Generation 142 with best=0 fitness=0
Worker 1: Generation 143 with best=0 fitness=0
Worker 0: Generation 143 with best=0 fitness=0
Worker 2: Generation 143 with best=0 fitness=0
Worker 3: Generation 143 with best=0 fitness=0
Worker 1: Generation 144 with best=0 fitness=0
Worker 0: Generation 144 with best=0 fitness=0
